,recv_c_dttm,create_dttm,resolve_dttm,user_resolve_dttm,forced_resolve_dttm,forced_username,recv_r_dttm,region,eid,ne_id,dn,dn_invt,mon_nm,step1,step2,step3,step4,obj,cause,grade,rect_type,rect_type.1,alert_type,alert_id,Y

843,2021-01-11 02:20:05.065,2021-01-10 17:17:53.000,2021-01-10 17:17:53.000,,,,2021-01-11 02:20:05.065,yi,,1646.0,yi/e/cgni01/c/rack04/15/bm/nov044,yi/e/cgni01/c/rack04/15/bm/nov044,yginec01nov044,server,ipmi,sel,hp.ipmi.sel.24,,hw-fault,warning,"intel(r) ethernet converged network adapter xl710-q2 connectivity status changed to ok for adapter in slot 5, port 2",ipmi_api,status,,0

844,2021-01-11 02:25:04.853,2021-01-10 17:21:44.000,2021-01-10 17:21:44.000,,,,2021-01-11 02:25:04.853,yi,,1646.0,yi/e/cgni01/c/rack04/15/bm/nov044,yi/e/cgni01/c/rack04/15/bm/nov044,yginec01nov044,server,ipmi,sel,hp.ipmi.sel.25,,hw-fault,warning,"intel(r) ethernet converged network adapter xl710-q2 connectivity status changed to ok for adapter in slot 5, port 1",ipmi_api,status,,0

845,2021-01-11 02:40:04.962,2021-01-10 17:35:45.000,2021-01-10 17:35:45.000,,,,2021-01-11 02:40:04.962,yi,,1646.0,yi/e/cgni01/c/rack04/15/bm/nov044,yi/e/cgni01/c/rack04/15/bm/nov044,yginec01nov044,server,ipmi,sel,hp.ipmi.sel.26,,hw-fault,warning,"intel(r) ethernet converged network adapter xl710-q2 connectivity status changed to ok for adapter in slot 5, port 1",ipmi_api,status,,0

909,2021-01-11 02:10:06.139,2021-01-11 02:10:06.139,2021-01-11 02:15:03.768,,,,2021-01-11 02:15:03.768,yi,,1646.0,yi/e/cgni01/c/rack04/15/bm/nov044,yi/e/cgni01/c/rack04/15/bm/nov044,yginec01nov044,server,ipmi,conn,hp.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

1518,2021-01-17 20:00:04.446,2021-01-17 10:54:04.000,2021-01-17 10:54:04.000,,,,2021-01-17 20:00:04.446,yi,,1704.0,yi/e/cgni01/c/rack10/15/bm/nov104,yi/e/cgni01/c/rack10/15/bm/nov104,yginec01nov104,server,ipmi,sel,hp.ipmi.sel.23,,hw-fault,warning,"network controller connectivity status changed to ok for adapter in slot 0, port 2",ipmi_api,status,,0

1519,2021-01-17 20:00:04.492,2021-01-17 10:54:04.000,2021-01-17 10:54:04.000,,,,2021-01-17 20:00:04.492,yi,,1704.0,yi/e/cgni01/c/rack10/15/bm/nov104,yi/e/cgni01/c/rack10/15/bm/nov104,yginec01nov104,server,ipmi,sel,hp.ipmi.sel.24,,hw-fault,warning,"network controller connectivity status changed to ok for adapter in slot 0, port 3",ipmi_api,status,,0

1520,2021-01-17 20:00:04.529,2021-01-17 10:54:04.000,2021-01-17 10:54:04.000,,,,2021-01-17 20:00:04.529,yi,,1704.0,yi/e/cgni01/c/rack10/15/bm/nov104,yi/e/cgni01/c/rack10/15/bm/nov104,yginec01nov104,server,ipmi,sel,hp.ipmi.sel.25,,hw-fault,warning,"network controller connectivity status changed to ok for adapter in slot 0, port 4",ipmi_api,status,,0

